Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Skip,Step,Comment,Tx Step,
177,147.50000,147.50000, ,Simplex,FM,SMPX17,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Washington Co. Delta / Tillamook Co. S / Hood R. Pri. / Clackamas Co. Pri. N,5 kHz,
178,147.52000,147.52000, ,Simplex,FM,SMPX18,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Intel Emergency Am. Radio Service / Yamhill Secondary,5 kHz,
179,147.54000,147.54000, ,Simplex,FM,SMPX19,None,88.5 Hz,88.5 Hz,023,On,5 kHz,PBEM NET-Tac 3 / Washington Co. Echo,5 kHz,
180,147.56000,147.56000, ,Simplex,FM,SMPX20,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Gresham / Beaverton CERT Secondary,5 kHz,
181,147.58000,147.58000, ,Simplex,FM,SMPX21,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clatsop County North Simplex / PBEM NET-Tac 1,5 kHz,
182,431.02500,431.02500, ,Simplex,FM,SMPX22,None,88.5 Hz,88.5 Hz,023,On,25 kHz,,5 kHz,
183,431.05000,431.05000, ,Simplex,FM,SMPX23,None,88.5 Hz,88.5 Hz,023,On,25 kHz,,5 kHz,
184,431.07500,431.07500, ,Simplex,FM,SMPX24,None,88.5 Hz,88.5 Hz,023,On,25 kHz,,5 kHz,
185,431.10000,431.10000, ,Simplex,FM,SMPX25,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Hillsboro CERT Simplex 1 / PBEM NET UHF-1,5 kHz,
186,431.12500,431.12500, ,Simplex,FM,SMPX26,None,88.5 Hz,88.5 Hz,023,On,25 kHz,,5 kHz,
187,431.15000,431.15000, ,Simplex,FM,SMPX27,None,88.5 Hz,88.5 Hz,023,On,25 kHz,,5 kHz,
188,431.17500,431.17500, ,Simplex,FM,SMPX28,None,88.5 Hz,88.5 Hz,023,On,25 kHz,,5 kHz,
189,431.20000,431.20000, ,Simplex,FM,SMPX29,None,88.5 Hz,88.5 Hz,023,On,25 kHz, Marion Co. UHF Simplex / PBEM NET UHF-2,5 kHz,
190,431.22500,431.22500, ,Simplex,FM,SMPX30,None,88.5 Hz,88.5 Hz,023,On,25 kHz,,5 kHz,
191,431.25000,431.25000, ,Simplex,FM,SMPX31,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Hillsboro CERT Simplex 2,5 kHz,
192,431.27500,431.27500, ,Simplex,FM,SMPX32,None,88.5 Hz,88.5 Hz,023,On,25 kHz,,5 kHz,
193,431.30000,431.30000, ,Simplex,FM,SMPX33,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Hillsboro CERT Simplex 3 / PBEM NET UHF-3,5 kHz,
194,432.12500,432.12500, ,Simplex,FM,SMPX34,None,88.5 Hz,88.5 Hz,023,On,25 kHz,,5 kHz,
195,432.15000,432.15000, ,Simplex,FM,SMPX35,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Multnomah Co. UHF Simplex / Beaverton CERT Simplex 3,5 kHz,
196,432.17500,432.17500, ,Simplex,FM,SMPX36,None,88.5 Hz,88.5 Hz,023,On,25 kHz,,5 kHz,
197,432.20000,432.20000, ,Simplex,FM,SMPX37,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Washington Co. Golf Simplex,5 kHz,
198,432.22500,432.22500, ,Simplex,FM,SMPX38,None,88.5 Hz,88.5 Hz,023,On,25 kHz,,5 kHz,
199,446.00000,446.00000, ,Simplex,FM,NUCALL,None,88.5 Hz,88.5 Hz,023,On,25 kHz,National UHF Simplex Calling Frequency,5 kHz,
389,431.10000,431.10000, ,Simplex,FM,PNET1,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Portland NET Neighborhood Simplex,5 kHz,
390,431.20000,431.20000, ,Simplex,FM,PNET2,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Portland NET Neighborhood Simplex,5 kHz,
391,431.30000,431.30000, ,Simplex,FM,PNET3,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Portland NET Neighborhood Simplex,5 kHz,
392,431.40000,431.40000, ,Simplex,FM,PNET4,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Portland NET Neighborhood Simplex,5 kHz,
393,431.50000,431.50000, ,Simplex,FM,PNET5,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Portland NET Neighborhood Simplex,5 kHz,
394,431.60000,431.60000, ,Simplex,FM,PNET6,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Portland NET Neighborhood Simplex,5 kHz,
395,431.70000,431.70000, ,Simplex,FM,PNET7,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Portland NET Neighborhood Simplex,5 kHz,
397,443.30000,448.30000,5.00 MHz,Plus,FM,K7NE,Tone,100.0 Hz,88.5 Hz,023,On,25 kHz,Portland NET UHF Repeater - Council Crest,5 kHz,
399,147.48000,147.48000, ,Simplex,FM, BCRT 2,Tone,100.0 Hz,88.5 Hz,023,On,5 kHz,Beaverton CERT,5 kHz,
400,444.30000,449.30000,5.00 MHz,Plus,FM,CLACLO,Tone,82.5 Hz,88.5 Hz,023,On,25 kHz,Lake Oswego ARES UHF Repeater,5 kHz,
401,440.52500,445.52500,5.00 MHz,Plus,FM,TRNGLP,Tone,77.0 Hz,88.5 Hz,023,On,25 kHz,Tillamook County - Triangulationn Point,5 kHz,
402,443.55000,448.55000,5.00 MHz,Plus,FM,K7GDS,Tone,100.0 Hz,88.5 Hz,023,On,25 kHz,SW Portland,5 kHz,
440,145.37000,144.77000,600 kHz,Minus,FM,AB7F V,Tone,123.0 Hz,88.5 Hz,023,On,5 kHz,Vancouver WA,5 kHz,
441,442.37500,447.37500,5.00 MHz,Plus,FM,AB7F U,Tone,123.0 Hz,88.5 Hz,023,On,25 kHz,Vancouver WA,5 kHz,
442,441.37500,446.37500,5.00 MHz,Plus,FM,AB7F S,Tone,123.0 Hz,88.5 Hz,023,On,25 kHz,Salem OR,5 kHz,
446,444.67500,449.67500,5.00 MHz,Plus,FM,PGE1,Tone,100.0 Hz,88.5 Hz,023,Off,25 kHz,PGE - Downed Line,5 kHz,
448,443.62500,448.62500,5.00 MHz,Plus,FM,PROV1,Tone,77.0 Hz,88.5 Hz,023,Off,25 kHz,Providence,5 kHz,
449,440.82500,445.82500,5.00 MHz,Plus,FM,LEGCY1,Tone,110.9 Hz,88.5 Hz,023,Off,25 kHz,Legacy,5 kHz,
451,147.06000,147.66000,600 kHz,Plus,FM,BAWFAW,Tone,110.9 Hz,88.5 Hz,023,On,5 kHz,WA7UHD Chehalis - WA,5 kHz,
452,145.49000,144.89000,600 kHz,Minus,FM,PKSLM,Tone,136.5 Hz,88.5 Hz,023,On,5 kHz,Salem Prospect Hill - linked to Portland RED C1,5 kHz,
453,443.70000,448.70000,5.00 MHz,Plus,FM,N7PIRG,Tone,103.5 Hz,88.5 Hz,023,On,25 kHz,Goat Mt.,5 kHz,
454,443.87500,448.87500,5.00 MHz,Plus,FM,N7PIRH,Tone,103.5 Hz,88.5 Hz,023,On,25 kHz,Mt. Hood,5 kHz,
455,440.45000,445.45000,5.00 MHz,Plus,FM,N7PIRS,Tone,103.5 Hz,88.5 Hz,023,On,25 kHz,Skyline,5 kHz,
457,146.80000,146.20000,600 kHz,Minus,FM,WORC C,Tone,107.2 Hz,88.5 Hz,023,On,5 kHz,WORC - Clackamas,5 kHz,
458,443.15000,448.15000,5.00 MHz,Plus,FM,WORCCU,Tone,107.2 Hz,88.5 Hz,023,On,25 kHz,WORC - Clackamas,5 kHz,
459,442.52500,447.52500,5.00 MHz,Plus,FM,WORC T,Tone,107.2 Hz,88.5 Hz,023,On,25 kHz,WORC - Aloha,5 kHz,
460,145.43000,144.83000,600 kHz,Minus,FM,WORC S,Tone,107.2 Hz,88.5 Hz,023,On,5 kHz,WORC - Sandy,5 kHz,
461,145.47000,144.87000,600 kHz,Minus,FM,WORCSH,Tone,107.2 Hz,88.5 Hz,023,On,5 kHz,WORC - Sherwood,5 kHz,
462,145.27000,144.67000,600 kHz,Minus,FM,WORCTI,Tone,107.2 Hz,88.5 Hz,023,On,5 kHz,WORC - Timber,5 kHz,
463,442.92500,447.92500,5.00 MHz,Plus,FM,WORCHU,Tone,107.2 Hz,88.5 Hz,023,On,25 kHz,WORC - Mt Hood,5 kHz,
464,442.27500,447.27500,5.00 MHz,Plus,FM,WORC N,Tone,107.2 Hz,88.5 Hz,023,On,25 kHz,WORC - Newberg ?,5 kHz,
466,147.38000,147.98000,600 kHz,Plus,FM,ARRGTV,Tone,100.0 Hz,88.5 Hz,023,On,5 kHz,ARRG Miller/Skyline,5 kHz,
467,444.40000,449.40000,5.00 MHz,Plus,FM,ARRGSY,Tone,100.0 Hz,88.5 Hz,023,On,25 kHz,ARRG Sylvania - C4FM capable,5 kHz,
468,442.22500,447.22500,5.00 MHz,Plus,FM,ARRGSA,Tone,100.0 Hz,88.5 Hz,023,On,25 kHz,ARRG Sandy - linked to 444.400 Sylvania,5 kHz,
469,443.75000,448.75000,5.00 MHz,Plus,FM,ARRGCL,Tone,100.0 Hz,88.5 Hz,023,On,25 kHz,ARRG Chehalem Ridge - linked to Sylvania 444.400?,5 kHz,
470,442.32500,447.32500,5.00 MHz,Plus,FM,ARRGSU,Tone,100.0 Hz,88.5 Hz,023,On,25 kHz,ARRG South Saddle - linked to 147.320,5 kHz,
471,444.22500,449.22500,5.00 MHz,Plus,FM,ARRGHU,Tone,100.0 Hz,88.5 Hz,023,On,25 kHz,ARRG Mt. Hood - linked to 147.120,5 kHz,
472,147.18000,147.78000,600 kHz,Plus,FM,PARC C,Tone,103.5 Hz,88.5 Hz,023,On,5 kHz,PARC Fusion - Mt. Scott,5 kHz,
481,144.92000,144.92000, ,Simplex,FM,CLRK48,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS K7YFJ-10 - KA7CTT-10 (1200Bd) / EOC: k7cll@winlink.org,5 kHz,
482,144.94000,144.94000, ,Simplex,FM,CLRK50,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS K7GJT-10 - KB7APU-10 (1200Bd),5 kHz,
483,145.57000,145.57000, ,Simplex,FM,CLAC11,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS KD7ZDO-10 packet gateway / EOC: kd7zdo@winlink.org,5 kHz,
484,144.98000,144.98000, ,Simplex,FM,WC 13,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS WC7EOC-10 Washington Co. EOC: wc7eoc@winlink.org,5 kHz,
485,145.05000,145.05000, ,Simplex,FM,WC 15,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS K7TRP-10 - N7OGM-10 (1200 Bd),5 kHz,
498,146.52000,146.52000, ,Simplex,FM,NVCALL,None,88.5 Hz,88.5 Hz,023,On,5 kHz,National VHF Calling Frequency,5 kHz,
499,446.00000,446.00000, ,Simplex,FM,NUCALL,None,88.5 Hz,88.5 Hz,023,On,25 kHz,National UHF Calling Frequency,5 kHz,
500,146.52000,146.52000, ,Simplex,FM,STD105,None,88.5 Hz,88.5 Hz,023,On,5 kHz,MCARES 2019 Template V1.05 - 7/9/2019,5 kHz,
